pu_id,area
394,64951905.2841797000
397,64951905.2836914000
398,64951905.2841797000
399,64951905.2836914000
400,64951905.2836914000
401,64951905.2841797000
402,64951905.2836914000
403,64951905.2841797000
404,64951905.2836914000
405,61376166.4887695000
406,39621859.5878906000
407,46830993.2006836000
408,64951905.2841797000
409,64951905.2836914000
410,64951905.2836914000
411,64951905.2836914000
412,64951905.2836914000
413,64951905.2836914000
414,64951905.2836914000
415,64951905.2836914000
416,64951905.2836914000
417,46609013.7592773000
418,14880861.2866211000
419,64951905.2846680000
420,64951905.2832031000
421,64951905.2841797000
422,64951905.2836914000
423,64951905.2836914000
424,64951905.2841797000
425,64951905.2836914000
426,64951905.2832031000
427,64951905.2832031000
428,64951905.2841797000
429,64951905.2836914000
430,64951905.2851563000
431,64951905.2836914000
432,64951905.2836914000
433,64951905.2832031000
434,64951905.2832031000
435,64951905.2836914000
436,64951905.2841797000
437,64951905.2841797000
438,64951905.2832031000
441,63925810.3632813000
442,64951905.2832031000
443,64951905.2841797000
444,64951905.2836914000
445,64951905.2836914000
446,64951905.2836914000
447,64951905.2836914000
448,64951905.2836914000
449,64951905.2841797000
450,64951905.2832031000
451,64951905.2841797000
452,64951905.2832031000
453,64951905.2841797000
454,64951905.2836914000
455,64951905.2841797000
456,64951905.2836914000
457,64951905.2841797000
458,64951905.2836914000
459,64951905.2841797000
460,64951905.2836914000
461,17296452.1699219000
462,12984132.0322266000
463,64951905.2836914000
464,64951905.2841797000
465,64951905.2841797000
466,64951905.2836914000
467,64951905.2836914000
468,64951905.2832031000
469,64951905.2841797000
470,64951905.2841797000
471,64951905.2841797000
472,64951905.2836914000
473,64951905.2836914000
474,64951905.2832031000
475,64951905.2836914000
476,64951905.2841797000
477,64951905.2841797000
478,64951905.2841797000
479,64951905.2836914000
480,64951905.2836914000
481,64951905.2836914000
482,61556991.1518555000
485,58748251.6000977000
486,64951905.2836914000
487,64951905.2832031000
488,64951905.2841797000
489,64951905.2841797000
490,64951905.2836914000
491,64951905.2832031000
492,64951905.2841797000
493,64951905.2841797000
494,64951905.2846680000
495,64951905.2832031000
496,64951905.2836914000
497,64951905.2841797000
498,64951905.2841797000
499,64951905.2832031000
500,64951905.2836914000
501,64951905.2841797000
502,64951905.2841797000
503,64951905.2832031000
504,64951905.2836914000
505,1754041.3232421900
507,64951905.2841797000
508,64951905.2836914000
509,64951905.2836914000
510,64951905.2836914000
511,64951905.2841797000
512,64951905.2841797000
513,64951905.2832031000
514,64951905.2836914000
515,64951905.2836914000
516,64951905.2836914000
517,64951905.2841797000
518,64951905.2836914000
519,64951905.2836914000
520,64951905.2836914000
521,64951905.2836914000
522,64951905.2841797000
523,64951905.2836914000
524,64951905.2832031000
525,64951905.2836914000
526,57324754.2568359000
529,28974033.3969727000
530,64951905.2841797000
531,64951905.2841797000
532,64951905.2836914000
533,64951905.2832031000
534,64951905.2841797000
535,64951905.2841797000
536,64951905.2836914000
537,64951905.2832031000
538,64951905.2846680000
539,64951905.2841797000
540,64951905.2841797000
541,64951905.2832031000
542,64951905.2836914000
543,64951905.2841797000
544,64951905.2841797000
545,64951905.2832031000
546,64951905.2836914000
547,64951905.2841797000
548,64951905.2841797000
549,7277488.9653320300
551,64951905.2836914000
552,64951905.2836914000
553,64951905.2841797000
554,64951905.2841797000
555,64951905.2832031000
556,64951905.2836914000
557,64951905.2841797000
558,64951905.2836914000
559,64951905.2841797000
560,64951905.2836914000
561,64951905.2836914000
562,64951905.2841797000
563,64951905.2836914000
564,64951905.2841797000
565,64951905.2836914000
566,64951905.2836914000
567,64951905.2841797000
568,64951905.2836914000
569,64951905.2841797000
570,64951905.2841797000
573,6016644.9335937500
574,64951905.2841797000
575,64951905.2832031000
576,64951905.2841797000
577,64951905.2841797000
578,64951905.2832031000
579,64951905.2841797000
580,64951905.2841797000
581,64951905.2832031000
582,64951905.2832031000
583,64951905.2841797000
584,64951905.2832031000
585,64951905.2841797000
586,64951905.2841797000
587,64951905.2832031000
588,64951905.2836914000
589,64951905.2841797000
590,64951905.2836914000
591,64951905.2836914000
592,64951905.2841797000
593,14552146.2060547000
595,60478671.3315430000
596,64951905.2841797000
597,64951905.2836914000
598,64951905.2836914000
599,64951905.2841797000
600,64951905.2836914000
601,64951905.2836914000
602,64951905.2841797000
603,64951905.2836914000
604,64951905.2841797000
605,64951905.2836914000
606,64951905.2836914000
607,64951905.2841797000
608,64951905.2836914000
609,64951905.2841797000
610,64951905.2836914000
611,64951905.2836914000
612,64951905.2841797000
613,64951905.2836914000
614,57278665.4780273000
617,2751174.6630859400
618,64951905.2836914000
619,64951905.2841797000
620,64951905.2832031000
621,64951905.2836914000
622,64951905.2841797000
623,64951905.2836914000
624,64951905.2836914000
625,64951905.2841797000
626,64951905.2841797000
627,64951905.2832031000
628,64951905.2846680000
629,64951905.2836914000
630,64951905.2832031000
631,64951905.2846680000
632,64951905.2836914000
633,64951905.2832031000
634,64951905.2841797000
635,64951905.2836914000
636,64951905.2836914000
639,30632909.1176758000
640,64951905.2841797000
641,64951905.2832031000
642,64951905.2836914000
643,64951905.2841797000
644,64951905.2836914000
645,64951905.2832031000
646,64951905.2836914000
647,64951905.2841797000
648,64951905.2836914000
649,64951905.2832031000
650,64951905.2836914000
651,64951905.2841797000
652,64951905.2836914000
653,64951905.2832031000
654,64951905.2836914000
655,64951905.2841797000
656,64951905.2836914000
657,64951905.2832031000
