id1,id2,boundary
242,286,5000.0
243,265,5000.0
243,266,5000.0
243,287,5000.0
244,266,5000.0
244,267,5000.0
244,288,5000.0
245,267,5000.0
245,268,5000.0
245,289,5000.0
246,268,5000.0
246,269,5000.0
246,290,5000.0
247,269,5000.0
247,270,5000.0
247,291,5000.0
248,248,9629.0
248,270,5000.0
248,292,2083.0
259,259,10188.0
259,281,650.0
261,261,18204.0
261,283,2011.0
261,284,1908.0
261,305,5000.0
264,264,7115.0
264,286,321.0
265,286,5000.0
265,287,5000.0
265,309,5000.0
266,287,5000.0
266,288,5000.0
266,310,5000.0
267,288,5000.0
267,289,5000.0
267,311,5000.0
268,289,5000.0
268,290,5000.0
268,312,5000.0
269,290,5000.0
269,291,5000.0
269,313,5000.0
270,291,5000.0
270,292,5000.0
270,314,5000.0
281,281,12559.0
281,303,1476.0
281,325,591.0
283,283,8598.0
283,305,5000.0
283,327,2252.0
284,284,9915.0
284,305,5000.0
284,328,4431.0
286,286,9769.0
286,308,881.0
286,309,5000.0
286,330,5000.0
287,309,5000.0
287,310,5000.0
287,331,5000.0
288,310,5000.0
288,311,5000.0
288,332,5000.0
289,311,5000.0
289,312,5000.0
289,333,5000.0
290,312,5000.0
290,313,5000.0
290,334,5000.0
291,313,5000.0
291,314,5000.0
291,335,5000.0
292,292,8242.0
292,314,5000.0
292,315,4419.0
292,336,5000.0
293,293,3416.0
293,315,1524.0
293,337,789.0
303,303,13052.0
303,325,5000.0
303,326,3527.0
303,347,5000.0
305,327,5000.0
305,328,5000.0
305,349,5000.0
306,306,7754.0
306,328,1999.0
306,350,3967.0
308,308,4722.0
308,330,1446.0
309,330,5000.0
309,331,5000.0
309,353,5000.0
310,331,5000.0
310,332,5000.0
310,354,5000.0
311,332,5000.0
311,333,5000.0
311,355,5000.0
312,333,5000.0
312,334,5000.0
312,356,5000.0
313,334,5000.0
313,335,5000.0
313,357,5000.0
314,335,5000.0
314,336,5000.0
314,358,5000.0
315,315,8450.0
315,336,5000.0
315,337,5000.0
315,359,5000.0
316,316,3448.0
316,337,1982.0
316,360,1301.0
322,322,2941.0
322,343,493.0
322,366,2337.0
323,323,6448.0
323,345,3157.0
323,367,2703.0
325,325,10211.0
325,346,1952.0
325,347,5000.0
325,369,5000.0
326,326,10134.0
326,347,5000.0
326,348,4517.0
326,370,5000.0
327,327,7536.0
327,348,4966.0
327,349,5000.0
327,371,5000.0
328,328,3355.0
328,349,5000.0
328,350,5000.0
328,372,5000.0
329,329,648.0
329,350,350.0
330,330,8060.0
330,352,922.0
330,353,5000.0
330,374,5000.0
331,353,5000.0
331,354,5000.0
331,375,5000.0
332,354,5000.0
332,355,5000.0
332,376,5000.0
333,355,5000.0
333,356,5000.0
333,377,5000.0
334,356,5000.0
334,357,5000.0
334,378,5000.0
335,357,5000.0
335,358,5000.0
335,379,5000.0
336,358,5000.0
336,359,5000.0
336,380,5000.0
337,337,8192.0
337,359,5000.0
337,360,5000.0
337,381,5000.0
338,338,1654.0
338,360,554.0
338,382,1248.0
342,342,9801.0
342,365,1916.0
342,386,2058.0
343,343,11104.0
343,365,2133.0
343,366,5000.0
343,387,5000.0
344,344,10264.0
344,366,3759.0
344,367,2478.0
344,388,5000.0
345,345,20158.0
345,367,5000.0
345,368,2954.0
345,389,5000.0
346,346,8867.0
346,368,529.0
346,369,5000.0
346,390,5000.0
347,369,5000.0
347,370,5000.0
347,391,5000.0
348,348,5690.0
348,370,5000.0
348,371,5000.0
348,392,5000.0
349,371,5000.0
349,372,5000.0
349,393,5000.0
350,350,6981.0
350,372,5000.0
350,373,3632.0
350,394,5000.0
352,352,3545.0
352,374,1174.0
353,374,5000.0
353,375,5000.0
353,397,5000.0
354,375,5000.0
354,376,5000.0
354,398,5000.0
355,376,5000.0
355,377,5000.0
355,399,5000.0
356,377,5000.0
356,378,5000.0
356,400,5000.0
357,378,5000.0
357,379,5000.0
357,401,5000.0
358,379,5000.0
358,380,5000.0
358,402,5000.0
359,380,5000.0
359,381,5000.0
359,403,5000.0
360,360,8395.0
360,381,5000.0
360,382,5000.0
360,404,5000.0
363,363,817.0
363,407,492.0
364,364,11492.0
364,385,1566.0
364,386,2372.0
364,408,5000.0
365,365,9695.0
365,386,5000.0
365,387,5000.0
