id,cost1,cost2
456,16237976.32,243450
457,16237976.32,27515.1992188
458,16237976.32,381844
459,16237976.32,54875.3007813
460,16237976.32,19524.9003906
461,8624625.281,31498.1992188
462,6462259.429,5096
463,32475952.64,5894.7797852
464,32475952.64,6500.3999023
465,32475952.64,11954.7001953
466,32475952.64,9970.1904297
467,32475952.64,32620.5996094
468,32475952.64,22383.6992188
469,32475952.64,18173.8007813
470,32475952.64,187303
471,32475952.64,96529
472,32475952.64,430115
473,32475952.64,732845
474,32475952.64,38938.1992188
475,32475952.64,320493
476,32475952.64,60938
477,32475952.64,70217.1015625
478,32475952.64,102328
479,32475952.64,96076
480,32475952.64,116794
481,32475952.64,39960.8007813
482,30757593.09,71111.203125
485,19539465.95,4584.3901367
486,21650635.09,5477.5400391
487,21650635.09,14642.2001953
488,32475952.64,20949.4003906
489,21650635.09,27120.9003906
490,16237976.32,33884.8007813
491,21650635.09,8571.4501953
492,16237976.32,182586
493,21650635.09,35267.6992188
494,16237976.32,85603.1015625
495,21650635.09,45776.3984375
496,16237976.32,40055400
497,21650635.09,329835
498,16237976.32,56078.8984375
499,21650635.09,39742.1015625
500,16237976.32,389282
501,21650635.09,24732.1992188
502,16237976.32,18800.5996094
503,21650635.09,22720
504,16237976.32,90220.5
505,570998.2936,14569.7001953
507,21650635.09,4908.5
508,16237976.32,10360.0996094
509,16237976.32,504870
510,21650635.09,37612.3007813
511,16237976.32,73569.5
512,16237976.32,22622
513,16237976.32,11928.4003906
514,16237976.32,62342.3007813
515,16237976.32,235677
516,16237976.32,48368.3984375
517,16237976.32,63669.3984375
518,16237976.32,55013.3984375
519,16237976.32,45867.8984375
520,16237976.32,2392140
521,16237976.32,117833
522,16237976.32,13105.0996094
523,16237976.32,81671.1015625
524,16237976.32,30305.9003906
525,16237976.32,32708
526,11453219.93,15700.7001953
529,9635067.301,4611
530,16237976.32,7834.8999023
531,21650635.09,78354.5
532,32475952.64,26220
533,21650635.09,26949.4003906
534,16237976.32,23681.0996094
535,21650635.09,10601.5996094
536,16237976.32,32079.3007813
537,21650635.09,78464.8984375
538,16237976.32,95682.1015625
539,21650635.09,23373.5996094
540,16237976.32,183276
541,21650635.09,19102.1992188
542,16237976.32,67374.3984375
543,21650635.09,87157.796875
544,16237976.32,129381
545,21650635.09,45568.6992188
546,16237976.32,19199
547,32475952.64,104944
548,16237976.32,171185
549,2393093.394,329961
551,16237976.32,7058.0200195
552,16237976.32,16483.3007813
553,21650635.09,13581.0996094
554,32475952.64,19998.6992188
555,16237976.32,61028
556,16237976.32,23488.8007813
557,16237976.32,17063.5
