id,cost,status
418,7828.3901367,0
419,11945.0996094,0
420,5981.1401367,0
421,5893.8999023,0
422,9239.8701172,0
423,1119200,0
424,378168,0
425,123383,0
426,51967.6992188,0
427,82334,0
428,90218.703125,0
429,319259,0
430,115200,0
431,211776,0
432,142543,0
433,95226.1015625,0
434,28713.8007813,0
435,139293,0
436,231015,0
437,33713.5,0
438,67686.3984375,0
441,7192.2299805,0
442,6472.2797852,0
443,7181.1601563,0
444,7448.3999023,0
445,22918.4003906,0
446,103247,0
447,19571.4003906,0
448,3002130,0
449,132706,0
450,135469,0
451,261316,0
452,41951.3007813,0
453,165364,0
454,69912.203125,0
455,816351,0
456,243450,0
457,27515.1992188,0
458,381844,0
459,54875.3007813,0
460,19524.9003906,0
461,31498.1992188,0
462,5096,0
463,5894.7797852,0
464,6500.3999023,0
465,11954.7001953,0
466,9970.1904297,0
467,32620.5996094,0
468,22383.6992188,0
469,18173.8007813,0
470,187303,0
471,96529,0
472,430115,0
473,732845,0
474,38938.1992188,0
475,320493,0
476,60938,0
477,70217.1015625,0
478,102328,0
479,96076,0
480,116794,0
481,39960.8007813,0
482,71111.203125,0
485,4584.3901367,0
486,5477.5400391,0
487,14642.2001953,0
488,20949.4003906,0
489,27120.9003906,0
490,33884.8007813,0
491,8571.4501953,0
492,182586,0
493,35267.6992188,0
494,85603.1015625,0
495,45776.3984375,0
496,40055400,0
497,329835,0
498,56078.8984375,0
499,39742.1015625,0
500,389282,0
501,24732.1992188,0
502,18800.5996094,0
503,22720,0
504,90220.5,0
505,14569.7001953,0
507,4908.5,0
508,10360.0996094,0
509,504870,0
510,37612.3007813,0
511,73569.5,0
512,22622,0
513,11928.4003906,0
514,62342.3007813,0
515,235677,0
516,48368.3984375,0
517,63669.3984375,0
518,55013.3984375,0
519,45867.8984375,0
520,2392140,0
521,117833,0
522,13105.0996094,0
523,81671.1015625,0
524,30305.9003906,0
525,32708,0
526,15700.7001953,0
529,4611,0
530,7834.8999023,0
531,78354.5,0
532,26220,0
533,26949.4003906,0
534,23681.0996094,0
535,10601.5996094,0
536,32079.3007813,0
537,78464.8984375,0
538,95682.1015625,0
539,23373.5996094,0
540,183276,0
541,19102.1992188,0
542,67374.3984375,0
543,87157.796875,0
544,129381,0
545,45568.6992188,0
546,19199,0
547,104944,0
548,171185,0
549,329961,0
551,7058.0200195,0
552,16483.3007813,0
553,13581.0996094,0
554,19998.6992188,0
555,61028,0
556,23488.8007813,0
557,17063.5,0
558,506294,0
559,451008,0
560,71429.6015625,0
561,28587.8007813,0
562,38010.3007813,0
563,37939.6015625,0
564,43044.3007813,0
565,24355.1992188,0
566,179745,0
567,45504.3007813,0
568,14500.4003906,0
569,35525.3984375,0
570,54683.5,0
573,6389.1699219,0
574,17126.0996094,0
575,50900.8984375,0
576,8163.8901367,0
577,11548,0
578,172792,0
579,45096.1992188,0
580,128370,0
581,21114.6992188,0
582,41602.8007813,0
583,76536.203125,0
584,36476.6992188,0
585,618571,0
586,6814280,0
587,56102.3007813,0
588,76347.703125,0
589,104290,0
590,24101.9003906,0
591,20428.4003906,0
592,28062.6992188,0
593,26194.5,0
595,9449.7900391,0
596,50825.5,0
597,12109.7998047,0
598,8478.4003906,0
599,66980.3984375,0
600,23961.5,0
601,36712.6015625,0
602,215919,0
603,79833.796875,0
604,44155.3984375,0
605,85661.8984375,0
606,37133,0
607,28438.6992188,0
608,76328.203125,0
609,20311.3007813,0
610,22766.9003906,0
611,30831.6992188,0
612,17270.9003906,0
613,82403.703125,0
614,12194700,0
617,6811.0800781,0
618,19525.5,0
619,21920.9003906,0
620,18942.6992188,0
621,29116.6992188,0
622,14161.2998047,0
623,68943.296875,0
624,25676.0996094,0
625,43609.6015625,0
626,60008.1015625,0
627,70185.6015625,0
