id,cost1,cost2
457,162379.7632,27515.1992188
458,162379.7632,381844
459,162379.7632,54875.3007813
460,162379.7632,19524.9003906
461,86246.25281,31498.1992188
462,64622.59429,5096
463,324759.5264,5894.7797852
464,324759.5264,6500.3999023
465,324759.5264,11954.7001953
466,324759.5264,9970.1904297
467,324759.5264,32620.5996094
468,324759.5264,22383.6992188
469,324759.5264,18173.8007813
470,324759.5264,187303
471,324759.5264,96529
472,324759.5264,430115
473,324759.5264,732845
474,324759.5264,38938.1992188
475,324759.5264,320493
476,324759.5264,60938
477,324759.5264,70217.1015625
478,324759.5264,102328
479,324759.5264,96076
480,324759.5264,116794
481,324759.5264,39960.8007813
482,307575.9309,71111.203125
485,195394.6595,4584.3901367
486,216506.3509,5477.5400391
487,216506.3509,14642.2001953
488,324759.5264,20949.4003906
489,216506.3509,27120.9003906
490,162379.7632,33884.8007813
491,216506.3509,8571.4501953
492,162379.7632,182586
493,216506.3509,35267.6992188
494,162379.7632,85603.1015625
495,216506.3509,45776.3984375
496,162379.7632,40055400
497,216506.3509,329835
498,162379.7632,56078.8984375
499,216506.3509,39742.1015625
500,162379.7632,389282
501,216506.3509,24732.1992188
502,162379.7632,18800.5996094
503,216506.3509,22720
504,162379.7632,90220.5
505,5709.982936,14569.7001953
507,216506.3509,4908.5
508,162379.7632,10360.0996094
509,162379.7632,504870
510,216506.3509,37612.3007813
511,162379.7632,73569.5
512,162379.7632,22622
513,162379.7632,11928.4003906
514,162379.7632,62342.3007813
515,162379.7632,235677
516,162379.7632,48368.3984375
517,162379.7632,63669.3984375
518,162379.7632,55013.3984375
519,162379.7632,45867.8984375
520,162379.7632,2392140
521,162379.7632,117833
522,162379.7632,13105.0996094
523,162379.7632,81671.1015625
524,162379.7632,30305.9003906
525,162379.7632,32708
526,114532.1993,15700.7001953
529,96350.67301,4611
530,162379.7632,7834.8999023
531,216506.3509,78354.5
532,324759.5264,26220
533,216506.3509,26949.4003906
534,162379.7632,23681.0996094
535,216506.3509,10601.5996094
536,162379.7632,32079.3007813
537,216506.3509,78464.8984375
538,162379.7632,95682.1015625
539,216506.3509,23373.5996094
540,162379.7632,183276
541,216506.3509,19102.1992188
542,162379.7632,67374.3984375
543,216506.3509,87157.796875
544,162379.7632,129381
545,216506.3509,45568.6992188
546,162379.7632,19199
547,324759.5264,104944
548,162379.7632,171185
549,23930.93394,329961
551,162379.7632,7058.0200195
552,162379.7632,16483.3007813
553,216506.3509,13581.0996094
554,324759.5264,19998.6992188
555,162379.7632,61028
556,162379.7632,23488.8007813
557,162379.7632,17063.5
558,162379.7632,506294
