species,pu,amount
3,788,54011456.137210
3,633,8379720.950680
3,611,11442698.163090
3,498,38747378.210450
3,459,37790076.236330
3,809,16417988.505370
3,475,35505092.596680
3,410,8898286.039060
3,768,38294883.372070
3,566,13699572.970700
3,632,20110003.763180
3,411,37173095.882810
3,371,18319256.856930
3,480,7388370.219240
3,680,22942057.523930
3,790,1743715.750000
3,789,33514033.763180
3,636,16965929.593260
3,501,9669355.868160
3,416,63234.025390
3,679,35340984.813960
3,387,24992901.346680
3,526,20437800.754390
3,412,5281233.630370
3,830,2363200.003420
3,676,45249587.616700
3,700,19862420.546880
3,635,35124916.470210
3,436,18073774.808110
3,456,9733445.925780
3,742,46703085.104490
3,567,3267681.446780
3,656,30348085.210940
3,678,28631568.808590
3,743,49090481.748540
3,744,20404970.402830
3,502,8973377.343260
3,388,13566777.089840
3,654,34815470.797360
3,677,13235521.939450
3,786,32236290.608890
3,414,19858083.566890
3,587,45142202.204100
3,460,11036864.191410
3,766,9287428.441410
4,409,5959184.288090
4,744,3571973.798830
4,393,100995.231450
4,499,22804230.772950
4,680,336495.267090
4,678,6165166.117190
4,768,8122034.349120
4,436,5727324.709470
4,501,27220429.545410
4,503,41803284.545900
4,745,99082.803710
4,676,201971.718750
4,591,32100478.637700
4,655,7045233.526370
4,568,27998199.903320
4,569,17386599.230470
4,481,34395101.334470
4,500,17493586.509770
4,567,30268400.730960
4,371,626276.548340
4,523,6648509.922360
4,477,21015078.566410
4,544,18356709.194820
4,525,35614884.116210
4,435,19338066.422850
4,460,8934744.279300
4,654,1934769.302250
4,412,826980.806150
4,548,1977612.033690
4,456,9947231.341800
4,653,172351.608890
4,657,4147583.776860
4,478,6595948.652340
4,746,1037404.285640
4,543,3020760.520510
4,520,13521235.193850
4,697,162408.562990
4,547,29089055.882810
4,524,30973546.225590
4,570,2165947.968260
4,388,2958107.410640
4,455,16491780.141110
4,611,7408376.606930
4,415,3731232.078610
4,479,10547868.730470
4,389,95027.091310
4,636,3486791.691890
4,498,3312339.031250
4,475,435844.577640
4,416,507.379880
4,722,2458285.419430
4,811,462532.949710
4,391,5673358.754390
4,459,22556756.313480
4,609,9179148.020020
4,767,24072.856450
4,476,7728207.978030
4,565,11397798.083500
4,634,6886118.070310
4,347,43952.636230
4,588,13180683.907230
4,370,716577.365230
4,392,6371621.032710
4,701,11758597.430180
4,526,1596231.393070
4,724,3606340.039060
4,832,26403.808590
4,546,29431660.604980
4,743,421581.658200
4,656,4063676.131350
4,612,15199980.609380
4,545,33945192.400390
4,700,333064.975100
4,610,6001735.419430
4,633,2636376.727540
4,432,16845089.389650
4,411,1149100.429690
4,635,13926295.034180
4,522,33137759.631840
4,613,20717601.476070
4,434,893934.044430
4,504,3601940.838870
4,723,2370905.648440
4,433,4949575.386230
4,410,4748254.082030
4,457,9345384.584470
4,521,17971173.493650
4,741,211874.678710
4,589,18273010.470210
4,387,2529437.230470
4,632,4787844.046390
4,365,98025.511720
4,590,13231830.144530
4,502,33962309.115720
4,437,8997501.796390
4,631,71081.123050
4,679,4659708.797360
4,414,18439869.313960
4,480,47144720.678220
4,566,18711156.037110
4,587,4667126.621090
4,413,2055246.989260
4,454,5715564.869630
4,592,724068.322270
4,766,1080949.931150
4,431,852466.103520
4,789,207243.719240
4,458,10159671.888670
4,790,107547.451660
5,938,31661513.744630
5,892,37955980.033200
5,755,35516706.478030
5,797,1061346.820310
5,982,46464259.427250
5,667,19975133.857910
5,754,6369200.433110
5,893,30975309.092770
5,915,51712593.824220
5,1003,32627906.464360
5,625,8436863.294430
5,886,2447764.978030
5,535,15615371.814940
5,737,25982426.986820
5,1048,5432631.396000
5,731,5072266.538090
5,579,21165477.402340
5,490,762972.759280
5,647,3636175.637210
5,558,3035360.437990
5,1046,316083.203120
5,758,7453487.182130
5,512,5628202.127930
5,688,18316311.413570
5,1026,44161549.102540
5,1064,7086025.794430
5,732,10471030.403810
5,823,47203671.801270
5,714,13282630.272460
5,624,1481173.787600
5,800,27476041.480470
5,1069,6361863.773930
5,601,22895097.994140
5,850,4958928.631840
5,912,38385999.493160
5,997,20468390.019530
5,825,12039067.716310
5,734,7926209.007810
5,910,10697840.214360
5,686,1237576.796390
5,710,1185079.601560
5,842,12989867.061520
5,782,14984922.747070
5,600,12495696.364750
5,863,1013130.999510
5,775,12315139.616210
5,467,1499611.954100
5,759,20299165.572750
5,643,1197034.867190
5,715,4246210.977050
5,687,367714.106930
5,849,43320288.288570
5,556,17607685.166990
5,1004,13205704.851070
5,774,1600539.882320
5,871,24669611.954590
5,804,30639903.342770
5,533,897073.674800
5,913,28574709.517580
5,796,819641.382320
5,1020,14888524.358400
5,581,31256186.616700
5,756,32018218.289060
5,777,28847172.754880
5,887,6828932.293950
5,818,584727.507810
5,554,16814.830570
5,864,17892659.990230
5,844,26711229.527830
5,1000,17838143.669920
5,936,34280419.318850
5,937,42929661.912110
5,534,1206827.159180
5,1023,1309127.710450
5,716,8974084.505370
5,798,33646013.182130
5,709,588735.453120
5,736,6441886.186520
5,824,19309220.554200
5,894,21951463.115720
5,730,1830825.989750
5,623,18312542.581540
5,646,16076646.427250
5,958,46769742.498050
5,803,26102822.719240
5,779,25081142.105470
5,578,2935260.763670
5,891,48535513.930660
5,1047,16282675.187500
5,802,2633464.930180
5,907,428879.233400
5,738,826718.184080
5,666,2779272.881840
5,848,44511944.499020
5,537,5160788.599610
5,752,483801.463870
5,866,29854876.872560
5,781,13130108.634280
5,845,49946398.658690
5,622,4074073.761230
5,602,5243246.620610
5,821,42910158.996090
5,691,18838321.497070
5,959,14556196.271970
5,776,14497399.415040
5,934,7451416.710940
5,445,3910321.134770
5,869,26383113.780760
5,911,12697294.571290
5,847,5522502.957030
5,713,19441063.906740
5,956,8595445.711430
5,513,329928.745120
5,841,125118.418950
5,711,20581351.353030
5,1025,53510631.735350
5,931,3854056.258300
5,932,7462073.095700
5,689,8989585.440430
5,799,41434875.419430
5,1001,232522.312990
5,935,25611227.852540
5,890,33522187.582520
5,868,31013120.218750
5,870,20134218.696780
5,909,37286870.896000
5,889,38243049.169920
5,580,1941415.453120
5,885,251649.421880
5,867,22729748.968750
5,559,14394313.352050
5,753,4701450.437990
5,843,31184037.172850
5,693,662606.554690
5,914,47782472.037110
5,645,22997175.001460
5,865,41828721.218260
5,557,27233115.548340
5,692,15443498.115720
5,712,25298945.083500
5,846,41389689.509770
5,668,7008583.302250
5,555,5554569.999510
5,801,32588777.439940
5,822,27970383.961910
5,735,5793568.125000
5,669,8798596.889160
5,780,5358099.857420
